victims_age;victims_gender;victims_race;date_of_incident;city;state;cause_of_death;official_disposition_of_death;armed_status;fleeing;symptoms;body_camera;race_of_officers
40;Male;Black;10/02/2020;Forrest City;AR;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
35;Male;White;10/02/2020;Albertville;AL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Other;No;Yes;
40;Male;White;10/02/2020;Lafayette;LA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
31;Male;Black;09/02/2020;Chicago;IL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
23;Male;Unknown race;09/02/2020;Orlando;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Unknown;No;
45;Male;White;09/02/2020;Kennewick;WA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
47;Male;White;09/02/2020;Byron;GA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
48;Male;White;09/02/2020;Saginaw;MI;Gunshot;Justified by Prosecutor's Office;Allegedly Armed;Not fleeing;No;No;
46;Male;White;08/02/2020;Cuba;MO;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
67;Male;White;08/02/2020;Birmingham;AL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
37;Male;Unknown race;07/02/2020;Kansas City;MO;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
41;Male;White;07/02/2020;Chestnut Hill;MA;Gunshot;Justified by District Attorney;Unarmed/Did Not Have Actual Weapon;Car;Yes;No;
38;Male;White;07/02/2020;Sapulpa;OK;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
37;Male;White;06/02/2020;Port Charlotte;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
56;Male;White;05/02/2020;Reno;NV;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
26;Male;Black;04/02/2020;Home Garden;CA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
33;Male;White;04/02/2020;Allen;OK;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
41;Male;White;04/02/2020;Igo;CA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;Yes;No;
39;Male;Black;04/02/2020;Conway;AR;Tasered;Justified by Prosecuting Attorney;Unarmed/Did Not Have Actual Weapon;;No;;
33;Male;Hispanic;04/02/2020;Topeka;KS;Gunshot;Pending investigation/No Known Charges;Vehicle;Car;No;No;
56;Male;Black;03/02/2020;Salt Lake City;UT;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
17;Male;Black;02/02/2020;Wauwatosa;WI;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
63;Male;Unknown race;02/02/2020;Yuma;AZ;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
44;Male;White;02/02/2020;Minot;ME;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;Yes;No;
41;Male;Black;01/02/2020;Fort Myers;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
24;Male;White;01/02/2020;Spring Hill;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
53;Male;Black;01/02/2020;Gulfport;MS;Gunshot;Pending investigation/No Known Charges;Vehicle;Not fleeing;No;No;
15;Male;Black;30/01/2020;Columbus;OH;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
29;Male;Unknown race;30/01/2020;Kansas CIty;MO;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;Drug or alcohol use;No;
34;Male;White;30/01/2020;Deposit;NY;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
52;Male;Black;30/01/2020;Raleigh;NC;Gunshot;Pending investigation/No Known Charges;Unarmed/Did Not Have Actual Weapon;Foot;No;Yes;
41;Male;White;29/01/2020;Hockingport;OH;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
32;Male;White;29/01/2020;Kasilof;AK;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
39;Male;Hispanic;28/01/2020;Tucson;AZ;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
27;Male;White;28/01/2020;Scottsdale;AZ;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
20;Male;Black;28/01/2020;Graham;NC;Gunshot;Justified by District Attorney;Unarmed/Did Not Have Actual Weapon;Foot;No;No;
37;Male;White;28/01/2020;Dorton;KY;Gunshot;Pending investigation/No Known Charges;Vehicle;Not fleeing;No;No;
22;Male;Black;27/01/2020;Aiken;SC;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
43;Male;White;27/01/2020;Lexington Park;MD;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
43;Male;Black;27/01/2020;Marlow Heights;MD;Gunshot;Charged with 2nd degree murder;Unarmed/Did Not Have Actual Weapon;Not fleeing;Drug or alcohol use;No;
32;Male;White;27/01/2020;Chandler;AZ;Gunshot;Pending investigation/No Known Charges;Vehicle;Car;No;No;
19;Male;Black;25/01/2020;Aurora;CO;Gunshot;Justified by District Attorney;Allegedly Armed;Car;No;No;
34;Male;Black;25/01/2020;Columbus;OH;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
31;Male;Hispanic;24/01/2020;San Diego;CA;Gunshot;Justified by District Attorney;Allegedly Armed;Foot;No;Yes;
27;Male;White;24/01/2020;San Angelo;TX;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Other;No;No;
35;Female;White;24/01/2020;Coden;AL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
29;Male;Black;23/01/2020;St. Petersburg;FL;Gunshot;Justified by State Attorney;Allegedly Armed;Car;No;No;
22;Male;Black;23/01/2020;Savannah;GA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
26;Male;White;23/01/2020;Lakes;AK;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
30;Male;White;23/01/2020;Paris;TX;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;;No;No;
32;Male;Black;23/01/2020;Atlanta;GA;Gunshot;Pending investigation/No Known Charges;Vehicle;Car;No;No;
32;Male;Black;23/01/2020;Bloomingdale;NJ;Gunshot;Pending investigation/No Known Charges;Vehicle;Car;No;No;
37;Male;Hispanic;22/01/2020;Mesa;AZ;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;;No;No;
40;Male;White;22/01/2020;Arvada;CO;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
35;Male;Hispanic;22/01/2020;Moore;OK;Gunshot;Pending investigation/No Known Charges;Unarmed/Did Not Have Actual Weapon;Car;No;No;
60;Male;Asian;21/01/2020;Lacey;WA;Gunshot, Taser;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
20;Male;Black;21/01/2020;Jacksonville;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;White, White, White
23;Male;Black;21/01/2020;Denton;TX;Gunshot, Taser;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
32;Male;White;21/01/2020;Appleton;WI;Gunshot;Justified by District Attorney;Allegedly Armed;Not fleeing;No;No;
24;Male;White;21/01/2020;Atkins;AR;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
30;Male;Black;21/01/2020;Owings Mills;MD;Tasered;Pending investigation/No Known Charges;Unarmed/Did Not Have Actual Weapon;;Unknown;;
31;Male;Hispanic;20/01/2020;Fountain Valley;CA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
39;Male;White;20/01/2020;Lafayette;IN;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
57;Male;White;20/01/2020;Waterbury;CT;Gunshot;Justified by State's Attorney;Allegedly Armed;Not fleeing;No;No;
41;Male;White;20/01/2020;Sedona;AZ;Gunshot;Justified by outside agency;Allegedly Armed;Not fleeing;Unknown;No;
42;Male;Black;19/01/2020;Chesapeake;VA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;;No;;White
43;Male;White;19/01/2020;Sebring;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
16;Male;White;19/01/2020;Metairie;LA;Tasered;Pending investigation/No Known Charges;Unarmed/Did Not Have Actual Weapon;;Yes;;White
19;Male;Black;17/01/2020;Powder Springs;GA;Gunshot;Pending investigation/No Known Charges;Unarmed/Did Not Have Actual Weapon;Car;No;No;
35;Male;White;16/01/2020;Wausau;WI;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;;No;No;
50;Male;White;16/01/2020;West Jefferson;NC;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
66;Male;White;16/01/2020;Yerington;NV;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
19;Male;Black;15/01/2020;West Haven;CT;Gunshot, Taser;Pending investigation/No Known Charges;Allegedly Armed;Car;No;Yes;
55;Male;Black;15/01/2020;Cocoa;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;Yes;White
35;Male;White;15/01/2020;Missoula;MT;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
31;Male;White;15/01/2020;Mulberry;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;Black
47;Male;Black;15/01/2020;Lawrenceville;GA;Gunshot, Taser;Pending investigation/No Known Charges;Unclear;Not fleeing;Drug or alcohol use;No;
51;Male;Hispanic;14/01/2020;The Villages;FL;Gunshot;Justified by State Attorney;Allegedly Armed;Not fleeing;No;No;White
29;Male;Black;13/01/2020;Gary;IN;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
45;Male;White;13/01/2020;San Antonio;TX;Gunshot;Pending investigation/No Known Charges;Vehicle;Not fleeing;No;No;
47;Male;White;12/01/2020;Carthage;MO;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
47;Male;Black;11/01/2020;Bainbridge;GA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
49;Male;Black;11/01/2020;Miami Beach;FL;Gunshot, Taser;Pending investigation/No Known Charges;Allegedly Armed;;No;No;
52;Male;White;11/01/2020;Wheat Ridge;CO;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
43;Male;White;11/01/2020;New Castle;CO;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
31;Male;Hispanic;11/01/2020;Culver City;CA;Gunshot;Pending investigation/No Known Charges;Unarmed/Did Not Have Actual Weapon;;Yes;No;
25;Male;Pacific Islander;10/01/2020;Town and Country;WA;Gunshot, Taser;Justified by County Prosecutor;Unarmed/Did Not Have Actual Weapon;Car;No;No;White
37;Male;Black;09/01/2020;New York;NY;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;Yes;
42;Male;Black;09/01/2020;Philadelphia;PA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
41;Male;Unknown race;09/01/2020;Powhatan;OH;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
30;Male;White;09/01/2020;Bismarck;ND;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
34;Male;White;09/01/2020;Semmes;AL;Gunshot, Taser;Unknown;Allegedly Armed;Not fleeing;Yes;No;
24;Male;Hispanic;09/01/2020;Muscoy;CA;Gunshot;Pending investigation/No Known Charges;Vehicle;Car;No;No;
27;Male;Unknown race;08/01/2020;Baker;CA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;Yes;No;
51;Male;Unknown race;08/01/2020;Dallas;TX;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;;Yes;;
34;Male;White;08/01/2020;Bismarck;MO;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
21;Male;White;07/01/2020;Asheboro;NC;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
59;Male;White;07/01/2020;Delta Junction;AK;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
28;Male;Hispanic;06/01/2020;Phoenix;AZ;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
28;Male;Hispanic;06/01/2020;Albuquerque;NM;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
23;Male;Unknown race;06/01/2020;Aurora;CO;Gunshot;Justified by District Attorney;Allegedly Armed;Car;No;No;White
33;Male;Pacific Islander;06/01/2020;Kailua;HI;Gunshot;Pending investigation/No Known Charges;Unarmed/Did Not Have Actual Weapon;Not fleeing;No;No;
18;Male;Black;05/01/2020;Sparks;NV;Gunshot;Justified by District Attorney;Allegedly Armed;Car;Yes;No;
17;Male;Black;05/01/2020;Jacksonville;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
27;Male;Black;05/01/2020;Milford;DE;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;Black, White
30;Male;Hispanic;05/01/2020;Lubbock;TX;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
57;Male;White;05/01/2020;Elkmont;AL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
50;Male;White;05/01/2020;Oklahoma City;OK;Gunshot, Taser;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
25;Male;Black;04/01/2020;Chicago;IL;Gunshot, Taser;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
53;Female;Black;04/01/2020;Spring Valley;NY;Tasered;Pending investigation/No Known Charges;Unarmed/Did Not Have Actual Weapon;;Yes;;
30;Male;Hispanic;02/01/2020;Chicago;IL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;White
30;Male;Hispanic;02/01/2020;Ansonia;CT;Gunshot, Taser;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;Yes;
69;Male;Unknown race;02/01/2020;Hillsboro;OR;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
41;Male;White;02/01/2020;Murrieta;CA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;Drug or alcohol use;Yes;
28;Male;White;02/01/2020;Holt;MO;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
26;Male;Black;02/01/2020;North Las Vegas;NV;Gunshot;Pending investigation/No Known Charges;Vehicle;Car;No;Yes;
20;Male;Hispanic;01/01/2020;Denver;CO;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;Yes;
29;Male;Unknown race;01/01/2020;Central Point;OR;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;Yes;White, White
24;Male;White;01/01/2020;Warsaw;VA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
25;Male;White;01/01/2020;Grass Valley;CA;Gunshot, Taser;Pending investigation/No Known Charges;Unarmed/Did Not Have Actual Weapon;Not fleeing;Yes;No;White, White, White
57;Male;Black;31/12/2019;Omaha;NE;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not Fleeing;No;No;White, White, Black
23;Male;Black;31/12/2019;Federal Way;WA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not Fleeing;No;No;
49;Male;White;31/12/2019;Cross Lanes;WV;Gunshot;Justified by Prosecutor's Office;Allegedly Armed;Foot;No;No;
28;Male;White;31/12/2019;Globe;AZ;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not Fleeing;No;No;
Unknown;Male;Black;31/12/2019;Memphis;AR;Gunshot;Pending investigation/No Known Charges;Unclear;;No;;
47;Male;Unknown race;31/12/2019;Blue Mountain;MS;Gunshot;Pending investigation/No Known Charges;Unclear;Car;No;No;
37;Male;Black;31/12/2019;Chesterfield;MO;Gunshot;Pending investigation/No Known Charges;Vehicle;Car;No;No;
Unknown;Male;Black;30/12/2019;Houston;TX;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;;No;;
27;Male;White;30/12/2019;Fulton;MO;Gunshot;Pending investigation/No Known Charges;Vehicle;Car;No;No;
51;Female;White;30/12/2019;Wichita;KS;Gunshot;Pending investigation/No Known Charges;Vehicle;Car;No;No;
34;Male;White;29/12/2019;Juneau;AK;Gunshot;Justified by outside agency;Unclear;Not fleeing;No;No;
76;Male;Unknown race;29/12/2019;Byhalia;MS;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;;Unknown;No;
29;Male;White;29/12/2019;Rapid City;SD;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
Unknown;Unknown;White;29/12/2019;Lafayette;IN;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not Fleeing;No;No;
50;Male;Hispanic;29/12/2019;El Centro;CA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Unknown;No;
52;Male;White;28/12/2019;Houston;TX;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
31;Male;White;28/12/2019;Lancaster;OH;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
34;Male;White;28/12/2019;Clearlake Oaks;CA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
31;Male;White;28/12/2019;Elizabethton;TN;Gunshot;Pending investigation/No Known Charges;Unclear;Not fleeing;No;No;
27;Male;Hispanic;28/12/2019;Bakersfield;CA;Gunshot;Pending investigation/No Known Charges;Unclear;Not fleeing;No;No;
Unknown;Male;White;27/12/2019;Linthicum Heights;MD;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
43;Male;White;27/12/2019;Newport News;VA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
42;Male;White;27/12/2019;South Ogden;UT;Gunshot;Pending investigation/No Known Charges;Unclear;Car;Drug or alcohol use;No;
16;Male;Hispanic;27/12/2019;Limerick;ME;Gunshot;Pending investigation/No Known Charges;Unclear;;No;No;
35;Male;Hispanic;26/12/2019;Auburndale;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
35;Male;Black;26/12/2019;Memphis;TN;Gunshot;Pending investigation/No Known Charges;Unclear;;No;No;
59;Female;White;25/12/2019;Ocala;FL;Gunshot;Justified by State Attorney;Allegedly Armed;Not fleeing;Yes;No;
23;Male;Black;25/12/2019;Atlanta;GA;Gunshot;Pending investigation/No Known Charges;Vehicle;Car;No;No;
60;Male;Black;24/12/2019;Oklahoma City;OK;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;Drug or alcohol use;No;
65;Male;White;24/12/2019;Deltona;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;Yes;
56;Male;Unknown race;24/12/2019;Springfield;MO;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not Fleeing;No;No;
24;Male;White;23/12/2019;Bryant;AR;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
34;Male;Hispanic;23/12/2019;San Antonio;TX;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
38;Male;Hispanic;23/12/2019;Phoenix;AZ;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
24;Male;Black;22/12/2019;Pittsburgh;PA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
Unknown;Male;White;22/12/2019;Redding;CA;Gunshot;Pending investigation/No Known Charges;Unclear;Not fleeing;No;No;
46;Male;Black;22/12/2019;Hattiesburg;MS;Gunshot;Pending investigation/No Known Charges;Unclear;Other;No;No;
40;Male;White;21/12/2019;Huntington;UT;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;Drug or alcohol use;No;
57;Male;White;21/12/2019;Evansville;IN;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
57;Male;White;21/12/2019;Ithaca;NY;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
26;Male;White;21/12/2019;Carrollton;GA;Gunshot;Pending investigation/No Known Charges;Unclear;Foot;No;No;
61;Male;Black;20/12/2019;Winston-Salem;NC;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
44;Male;White;20/12/2019;Lynn;IN;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
28;Male;Black;19/12/2019;Lenoir;NC;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Other;No;No;
21;Male;Black;19/12/2019;Brentwood;NY;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
38;Male;White;19/12/2019;Carthage;TN;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;;No;No;
29;Male;White;19/12/2019;Davis;CA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
25;Male;Black;19/12/2019;Tempe;AZ;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
38;Male;White;19/12/2019;Umatilla;FL;Gunshot;Pending investigation/No Known Charges;Unclear;;No;;
47;Male;White;19/12/2019;Lakewood;CO;Gunshot;Pending investigation/No Known Charges;Unclear;Not fleeing;No;No;
29;Male;Unknown race;18/12/2019;Tulsa;OK;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
31;Male;White;17/12/2019;Wilmington;NC;Gunshot;Justified by District Attorney;Allegedly Armed;Not fleeing;No;No;
27;Male;White;17/12/2019;Fort Walton Beach;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
41;Male;White;17/12/2019;Great Falls;MT;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
63;Male;Unknown race;17/12/2019;El Paso;TX;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;;No;No;
27;Male;Pacific Islander;17/12/2019;Kapolei;HI;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;;No;Yes;
34;Male;Pacific Islander;16/12/2019;Honolulu;HI;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
Unknown;Male;Hispanic;16/12/2019;Los Angeles;CA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
28;Male;White;16/12/2019;San Bernardino;CA;Gunshot;Pending investigation/No Known Charges;Unclear;Car;No;No;
52;Male;Asian;15/12/2019;Minneapolis;MN;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;Yes;
23;Male;White;15/12/2019;Milwaukee;WI;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
40;Male;Asian;15/12/2019;Akron;OH;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;Yes;No;
27;Male;Hispanic;15/12/2019;Brownsville;TX;Gunshot;Pending investigation/No Known Charges;Unclear;;No;No;
65;Male;Black;14/12/2019;Detroit;MI;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
42;Male;White;14/12/2019;Tucson;AZ;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
22;Male;Black;14/12/2019;Jacksonville;FL;Gunshot;Justified by State Attorney;Allegedly Armed;Car;No;Yes;
18;Male;Hispanic;14/12/2019;Pasco;WA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
24;Male;Black;12/12/2019;St. Louis;MO;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Foot;No;No;
23;Male;White;12/12/2019;Ozark;AL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
22;Male;Black;12/12/2019;Tampa;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
30;Male;White;12/12/2019;New Cordell;OK;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
43;Male;Unknown race;12/12/2019;Orange;CA;Gunshot;Justified by District Attorney/Civil suit/Pending;Allegedly Armed;Not fleeing;Yes;Yes;
43;Male;White;12/12/2019;Renton;WA;Gunshot;Pending investigation/No Known Charges;Unarmed/Did Not Have Actual Weapon;Not fleeing;Drug or alcohol use;No;
34;Male;Black;12/12/2019;Anaheim;CA;Gunshot;Pending investigation/No Known Charges;Unclear;;No;Yes;
31;Male;White;11/12/2019;League City;TX;Gunshot;Pending investigation/No Known Charges;Unarmed/Did Not Have Actual Weapon;Not Fleeing;No;No;
42;Male;Hispanic;10/12/2019;Hesperia;CA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
31;Male;Black;10/12/2019;Andrews;SC;Gunshot;Justified by Solicitor's Office;Allegedly Armed;;No;No;
23;Male;Black;10/12/2019;Beloit;WI;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
50;Female;Black;10/12/2019;Jersey City;NJ;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
47;Male;Black;10/12/2019;Jersey City;NJ;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
42;Male;White;10/12/2019;Fort Madison;IA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;;No;No;
68;Male;White;10/12/2019;Elkland;PA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
66;Male;White;10/12/2019;Semmes;AL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not Fleeing;Yes;No;
55;Male;White;10/12/2019;Arietta;NY;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;;Yes;No;
47;Male;Black;09/12/2019;Independence;LA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
51;Male;White;08/12/2019;Portland;OR;Gunshot;Grand jury/No bill or Cleared;Allegedly Armed;Not fleeing;Yes;No;
35;Male;White;07/12/2019;Fayetteville;AR;Gunshot;Justified by internal review;Allegedly Armed;Not fleeing;No;No;
65;Male;White;07/12/2019;Nokomis;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;Yes;No;
23;Male;White;06/12/2019;Westminster;CO;Gunshot;Justified by District Attorney;Allegedly Armed;;No;No;
17;Male;Black;06/12/2019;Bentonville;AR;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not fleeing;No;No;
58;Male;Black;05/12/2019;Avon;CO;Gunshot;Justified by District Attorney;Allegedly Armed;Car;No;No;
41;Male;Black;05/12/2019;Miramar;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
41;Male;Black;05/12/2019;Miramar;FL;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Car;No;No;
41;Male;White;05/12/2019;San Bernardino;CA;Gunshot;Pending investigation/No Known Charges;Allegedly Armed;Not Fleeing;No;No;
70;Male;White;05/12/2019;Miramar;FL;Gunshot;Pending investigation/No Known Charges;Unarmed/Did Not Have Actual Weapon;;No;;
27;Male;Hispanic;05/12/2019;Miramar;FL;Gunshot;Pending investigation/No Known Charges;Unarmed/Did Not Have Actual Weapon;;No;;
